country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Afghanistan,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,687.0,689.0,692.0,694.0,696.0,698.0,701.0,703.0,705.0,708.0,710.0,713.0,715.0,718.0,720.0,722.0,725.0,728.0,730.0,732.0,735.0,737.0,740.0,743.0,745.0,747.0,751.0,753.0,755.0,757.0,761.0,763.0,765.0,768.0,771.0,773.0,775.0,779.0,781.0,783.0,787.0,789.0,791.0,795.0,797.0,800.0,803.0,805.0,808.0,811.0,814.0,816.0,820.0,822.0,825.0,828.0,831.0,833.0,837.0,839.0,852.0,863.0,876.0,887.0,899.0,910.0,922.0,933.0,944.0,955.0,965.0,976.0,986.0,997.0,1010.0,1020.0,1030.0,1040.0,1040.0,1050.0,1060.0,1070.0,1080.0,1090.0,1100.0,1100.0,1110.0,1120.0,1130.0,1130.0,1140.0,1150.0,1150.0,1160.0,1170.0,1180.0,1180.0,1190.0,1200.0,1200.0,1210.0,1220.0,1230.0,1240.0,1240.0,1250.0,1260.0,1270.0,1270.0,1280.0,1290.0,1290.0,1300.0,1300.0,1310.0,1310.0,1320.0,1320.0,1320.0,1330.0,1330.0,1330.0,1340.0,1340.0,1340.0,1340.0,1340.0,1340.0,1340.0,1340.0,1360.0,1380.0,1440.0,1450.0,1450.0,1490.0,1460.0,1510.0,1520.0,1540.0,1520.0,1510.0,1510.0,1500.0,1500.0,1480.0,1480.0,1500.0,1490.0,1480.0,1440.0,1170.0,1180.0,1210.0,1250.0,1290.0,1190.0,1240.0,1190.0,1190.0,1330.0,1480.0,1570.0,1550.0,1520.0,1560.0,1410.0,1280.0,1160.0,1120.0,1020.0,981.0,672.0,498.0,736.0,698.0,663.0,634.0,603.0,584.0,569.0,1190.0,1240.0,1200.0,1290.0,1320.0,1460.0,1480.0,1760.0,1960.0,1910.0,2080.0,2120.0,2100.0,2070.0,2060.0,2060.0,2030.0,2070.0,1970.0,1950.0,1990.0,2040.0,2070.0,2100.0,2140.0,2140.0,2150.0,2160.0,2180.0,2210.0,2240.0,2280.0,2320.0,2370.0,2420.0,2470.0,2520.0,2580.0,2630.0,2690.0,2750.0,2810.0,2870.0,2930.0,2990.0,3060.0,3120.0,3190.0,3260.0
Angola,700.0,702.0,705.0,709.0,711.0,714.0,718.0,721.0,725.0,727.0,730.0,734.0,737.0,740.0,744.0,747.0,749.0,753.0,756.0,760.0,763.0,764.0,764.0,765.0,766.0,766.0,767.0,767.0,768.0,768.0,769.0,770.0,771.0,771.0,772.0,772.0,772.0,773.0,774.0,774.0,774.0,775.0,776.0,776.0,776.0,776.0,777.0,777.0,777.0,778.0,778.0,779.0,779.0,779.0,780.0,780.0,781.0,781.0,781.0,781.0,782.0,781.0,782.0,782.0,782.0,783.0,782.0,783.0,782.0,783.0,783.0,784.0,783.0,783.0,784.0,783.0,783.0,783.0,783.0,784.0,784.0,783.0,783.0,783.0,783.0,783.0,783.0,782.0,782.0,782.0,782.0,782.0,781.0,781.0,781.0,780.0,780.0,780.0,780.0,779.0,779.0,778.0,778.0,777.0,777.0,776.0,776.0,775.0,774.0,774.0,774.0,773.0,772.0,771.0,791.0,810.0,830.0,850.0,870.0,891.0,912.0,937.0,961.0,986.0,1010.0,1040.0,1070.0,1090.0,1120.0,1150.0,1180.0,1210.0,1240.0,1270.0,1310.0,1340.0,1380.0,1410.0,1450.0,1480.0,1520.0,1560.0,1600.0,1640.0,1680.0,1720.0,1770.0,1810.0,1860.0,1900.0,1950.0,1990.0,2040.0,2090.0,2000.0,2130.0,2060.0,2220.0,2300.0,2270.0,2320.0,2590.0,2470.0,2560.0,2800.0,2960.0,3080.0,3200.0,3100.0,3130.0,3280.0,3200.0,3170.0,3320.0,3170.0,1990.0,1770.0,1740.0,1780.0,1780.0,1780.0,1710.0,1600.0,1500.0,1460.0,1440.0,1290.0,1410.0,1580.0,1580.0,1610.0,1670.0,1620.0,1260.0,1300.0,1530.0,1780.0,1960.0,2110.0,2210.0,2340.0,2510.0,2930.0,3150.0,3560.0,4310.0,5610.0,6960.0,7850.0,7760.0,7690.0,7680.0,8040.0,8140.0,8240.0,8040.0,7570.0,7310.0,6930.0,6670.0,6120.0,5980.0,5980.0,6000.0,6040.0,6100.0,6160.0,6220.0,6280.0,6350.0,6430.0,6530.0,6640.0,6770.0,6900.0,7040.0,7190.0,7350.0,7500.0,7660.0,7830.0,8000.0,8170.0,8350.0,8530.0,8710.0,8900.0,9090.0,9280.0,9480.0,9690.0
Albania,755.0,755.0,755.0,755.0,755.0,756.0,756.0,756.0,756.0,756.0,756.0,756.0,756.0,756.0,756.0,757.0,757.0,757.0,757.0,757.0,757.0,760.0,761.0,763.0,764.0,766.0,768.0,770.0,771.0,773.0,774.0,777.0,779.0,780.0,782.0,783.0,786.0,787.0,789.0,791.0,792.0,795.0,796.0,798.0,800.0,802.0,804.0,805.0,807.0,809.0,811.0,813.0,815.0,816.0,818.0,820.0,822.0,824.0,825.0,828.0,830.0,829.0,829.0,830.0,829.0,829.0,829.0,829.0,827.0,827.0,827.0,839.0,851.0,864.0,876.0,889.0,902.0,916.0,929.0,943.0,957.0,971.0,985.0,1000.0,1020.0,1030.0,1050.0,1060.0,1080.0,1090.0,1110.0,1120.0,1140.0,1150.0,1170.0,1190.0,1200.0,1220.0,1240.0,1250.0,1270.0,1290.0,1300.0,1320.0,1340.0,1350.0,1370.0,1390.0,1410.0,1430.0,1450.0,1460.0,1480.0,1500.0,1520.0,1530.0,1540.0,1550.0,1570.0,1580.0,1590.0,1610.0,1620.0,1630.0,1650.0,1660.0,1670.0,1690.0,1700.0,1720.0,1720.0,1730.0,1740.0,1740.0,1750.0,1760.0,1760.0,1770.0,1770.0,1780.0,1790.0,1790.0,1800.0,1810.0,1810.0,1820.0,1830.0,1840.0,1840.0,1850.0,1860.0,1940.0,1940.0,2020.0,2080.0,2190.0,2210.0,2350.0,2460.0,2560.0,2690.0,2720.0,2810.0,2910.0,3010.0,3130.0,3250.0,3380.0,3500.0,3630.0,3770.0,3920.0,4080.0,4290.0,4310.0,4330.0,4360.0,4380.0,4410.0,4440.0,4470.0,4500.0,4540.0,4570.0,4600.0,4630.0,4670.0,4700.0,4740.0,4780.0,4830.0,3500.0,3270.0,3600.0,3920.0,4470.0,4910.0,4400.0,4820.0,5480.0,5890.0,6440.0,6750.0,7150.0,7580.0,8040.0,8570.0,9150.0,9910.0,10300.0,10700.0,11100.0,11200.0,11400.0,11600.0,11900.0,12300.0,12800.0,13300.0,13700.0,13200.0,14300.0,14700.0,15100.0,15700.0,16300.0,16900.0,17500.0,18200.0,18800.0,19400.0,20000.0,20500.0,21100.0,21600.0,22000.0,22500.0,23000.0,23500.0,24000.0,24500.0,25100.0,25600.0,26200.0,26700.0,27300.0,27900.0,28500.0,29100.0,29700.0,30400.0
Andorra,1360.0,1360.0,1360.0,1360.0,1370.0,1370.0,1370.0,1370.0,1380.0,1380.0,1380.0,1380.0,1390.0,1390.0,1390.0,1390.0,1400.0,1400.0,1400.0,1400.0,1410.0,1420.0,1440.0,1460.0,1470.0,1490.0,1510.0,1530.0,1550.0,1560.0,1580.0,1600.0,1620.0,1640.0,1660.0,1680.0,1700.0,1720.0,1740.0,1760.0,1780.0,1800.0,1820.0,1840.0,1870.0,1890.0,1910.0,1930.0,1960.0,1980.0,2000.0,2030.0,2050.0,2080.0,2100.0,2130.0,2150.0,2180.0,2200.0,2230.0,2260.0,2280.0,2310.0,2340.0,2360.0,2390.0,2420.0,2450.0,2480.0,2510.0,2540.0,2570.0,2600.0,2630.0,2660.0,2690.0,2720.0,2760.0,2790.0,2820.0,2860.0,2890.0,2920.0,2960.0,2990.0,3030.0,3070.0,3100.0,3140.0,3180.0,3210.0,3250.0,3290.0,3330.0,3370.0,3410.0,3450.0,3490.0,3530.0,3580.0,3620.0,3660.0,3700.0,3750.0,3790.0,3840.0,3880.0,3930.0,3980.0,4020.0,4070.0,4120.0,4170.0,4220.0,4290.0,4360.0,4430.0,4510.0,4580.0,4660.0,4740.0,4820.0,4900.0,4990.0,5080.0,5160.0,5250.0,5340.0,5430.0,5530.0,5620.0,5720.0,5820.0,5920.0,6020.0,6120.0,6230.0,6340.0,6450.0,6560.0,6670.0,6780.0,6900.0,7020.0,7140.0,7260.0,7390.0,7510.0,7640.0,7770.0,7910.0,8550.0,9240.0,9990.0,10800.0,11700.0,12600.0,13600.0,14800.0,16000.0,17200.0,18600.0,20200.0,21800.0,23600.0,25500.0,27500.0,29800.0,32200.000000000004,34800.0,37600.0,37400.0,38500.0,39500.0,39900.0,38600.0,38500.0,38400.0,37900.0,36800.0,36300.0,34900.0,33900.0,33000.0,32100.0,31500.0,31200.0,31600.0,31900.0,32200.000000000004,32200.000000000004,31700.0,30800.0,29400.0,29300.0,29600.0,30800.0,33700.0,34900.0,36200.0,35800.0,36000.0,36100.0,39100.0,41100.0,45000.0,48400.0,49200.0,46900.0,47200.0,44100.0,47500.0,47500.0,49500.0,50900.0,52700.0,54500.0,56300.0,58300.0,58400.0,51600.0,55100.0,56500.0,56900.0,57100.0,56800.0,56600.0,56300.0,56200.0,56200.0,56400.0,56900.0,57600.0,58500.0,59500.0,60700.0,61900.0,63300.0,64599.99999999999,66000.0,67400.0,68900.0,70400.0,71900.0,73400.0,75000.0,76600.0,78300.0,80000.0,81700.0,83400.0
United Arab Emirates,1130.0,1130.0,1140.0,1140.0,1150.0,1150.0,1160.0,1160.0,1160.0,1170.0,1170.0,1180.0,1180.0,1190.0,1190.0,1190.0,1200.0,1200.0,1210.0,1210.0,1220.0,1220.0,1230.0,1230.0,1240.0,1240.0,1240.0,1250.0,1250.0,1260.0,1260.0,1270.0,1270.0,1280.0,1280.0,1290.0,1290.0,1300.0,1300.0,1310.0,1310.0,1320.0,1320.0,1330.0,1330.0,1340.0,1340.0,1350.0,1350.0,1360.0,1360.0,1370.0,1370.0,1380.0,1380.0,1390.0,1390.0,1400.0,1400.0,1410.0,1410.0,1420.0,1420.0,1430.0,1430.0,1440.0,1450.0,1450.0,1460.0,1460.0,1470.0,1490.0,1510.0,1530.0,1550.0,1580.0,1600.0,1620.0,1650.0,1670.0,1700.0,1720.0,1750.0,1770.0,1800.0,1840.0,1870.0,1910.0,1960.0,2010.0,2070.0,2140.0,2220.0,2310.0,2410.0,2520.0,2640.0,2790.0,2940.0,3120.0,3310.0,3530.0,3770.0,4030.0,4320.0,4640.0,4980.0,5360.0,5770.0,6220.0,6710.0,7230.0,7800.0,8420.0,8510.0,8610.0,8720.0,8810.0,8910.0,9960.0,11100.0,12400.0,13900.0,14600.0,15400.0,16100.000000000002,16700.0,17200.0,17800.0,17400.0,17000.0,16700.0,16300.0,15900.0,15500.0,16000.0,16600.0,17100.0,17700.0,18300.0,18800.0,19400.0,20000.0,20600.0,21200.0,22300.0,23500.0,24700.0,25900.0,27200.0,28500.0,31000.0,32000.0,34100.0,36800.0,36500.0,37800.0,37600.0,37700.0,39700.0,41600.0,47700.0,54800.0,61700.0,68600.0,75200.0,81500.0,87400.0,92000.0,94100.0,95700.0,102000.0,93900.0,91500.0,93900.0,84600.0,84200.0,86100.0,73900.0,82200.0,93800.0,89900.0,77600.0,69700.0,68800.0,63500.0,48100.0,47800.0,44300.0,47000.0,51300.0,50500.0,50500.0,50100.0,53100.0,56200.0,58600.0,62800.0,62800.0,64599.99999999999,71600.0,72200.0,73500.0,78600.0,82500.0,80800.0,86400.0,76600.0,68800.0,58400.0,54900.0,56100.0,57400.0,59900.0,62500.0,65300.0,66500.0,67200.0,67000.0,68300.0,65600.0,65099.99999999999,65200.0,66300.0,67900.0,69500.0,71200.0,73100.0,75100.0,77000.0,79000.0,80900.0,82800.0,84700.0,86600.0,88500.0,90400.0,92400.0,94300.0,96400.0,98500.0,101000.0,103000.0,105000.0,107000.0,110000.0,112000.0,114000.0,117000.0,119000.0,122000.0
Argentina,1730.0,1730.0,1740.0,1740.0,1750.0,1760.0,1760.0,1770.0,1770.0,1780.0,1790.0,1790.0,1800.0,1810.0,1810.0,1820.0,1820.0,1830.0,1840.0,1840.0,1850.0,1860.0,1880.0,1890.0,1910.0,1920.0,1940.0,1950.0,1960.0,1980.0,1990.0,2010.0,2020.0,2040.0,2060.0,2070.0,2090.0,2100.0,2120.0,2130.0,2150.0,2170.0,2180.0,2200.0,2220.0,2230.0,2250.0,2270.0,2280.0,2300.0,2320.0,2340.0,2360.0,2370.0,2390.0,2410.0,2430.0,2450.0,2470.0,2490.0,2510.0,2530.0,2550.0,2570.0,2590.0,2610.0,2630.0,2660.0,2680.0,2700.0,2720.0,2780.0,2840.0,2900.0,2970.0,3030.0,3040.0,3280.0,3040.0,3100.0,2970.0,2950.0,3610.0,3920.0,4050.0,4540.0,4380.0,4470.0,4900.0,4990.0,4480.0,4220.0,4940.0,5130.0,5780.0,6260.0,6650.0,5230.0,5510.0,6290.0,5330.0,5340.0,5040.0,5540.0,5910.0,6450.0,6520.0,6410.0,6780.0,6850.0,7080.0,6940.0,7230.0,7040.0,6120.0,6010.0,5730.0,5170.0,6020.0,6130.0,6440.0,6430.0,6740.0,7220.0,7510.0,7260.0,7400.0,7700.0,7950.0,8090.0,7560.0,6880.0,6530.0,6710.0,7130.0,7320.0,7250.0,7640.0,7550.0,7690.0,7710.0,7980.0,7940.0,7750.0,8490.0,8070.0,8640.0,9430.0,9730.0,9350.0,9240.0,9400.0,8740.0,9030.0,9230.0,9700.0,9790.0,10100.0,10600.0,9710.0,10300.0,10900.0,10700.0,10300.0,11300.0,12200.0,12200.0,12400.0,12800.0,13800.0,14400.0,14900.0,15200.0,15900.0,16800.0,16500.0,16200.0,17000.0,16100.000000000002,17000.0,17100.0,15900.0,15300.0,15600.0,15800.0,14600.0,15600.0,15800.0,15300.0,14300.0,14100.0,15200.0,16200.0,17300.0,18100.0,17400.0,18100.0,19300.0,19900.0,19000.0,18600.0,17600.0,15500.0,16700.0,18000.0,19400.0,20800.0,22400.0,23100.0,21500.0,23500.0,24600.0,24100.0,24400.0,23600.0,23900.0,23200.0,23600.0,22700.0,22100.0,19700.0,21500.0,22100.0,22600.0,22900.0,23200.0,23400.0,23600.0,23900.0,24200.0,24500.0,24900.0,25300.0,25800.0,26300.0,26800.0,27400.0,28000.0,28600.0,29200.0,29900.0,30500.0,31100.0,31800.0,32500.0,33200.0,33900.0,34700.0,35400.0,36200.0,36900.0
Armenia,582.0,582.0,582.0,582.0,582.0,582.0,582.0,582.0,582.0,582.0,582.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,585.0,588.0,590.0,592.0,594.0,597.0,599.0,601.0,603.0,606.0,609.0,611.0,614.0,616.0,618.0,620.0,623.0,625.0,627.0,629.0,633.0,635.0,637.0,640.0,642.0,644.0,648.0,650.0,652.0,654.0,658.0,660.0,662.0,665.0,668.0,670.0,672.0,675.0,678.0,680.0,683.0,686.0,688.0,691.0,694.0,696.0,698.0,702.0,704.0,708.0,710.0,712.0,715.0,718.0,721.0,723.0,727.0,729.0,732.0,735.0,738.0,740.0,744.0,746.0,749.0,719.0,839.0,805.0,747.0,743.0,678.0,742.0,838.0,951.0,878.0,966.0,948.0,970.0,1030.0,1000.0,1030.0,1110.0,1030.0,1160.0,1040.0,1010.0,985.0,1090.0,1150.0,1240.0,1160.0,1270.0,1350.0,1310.0,1360.0,1340.0,1130.0,956.0,809.0,777.0,748.0,822.0,903.0,990.0,1090.0,1190.0,1310.0,1440.0,1580.0,1660.0,1690.0,1680.0,1760.0,1940.0,2240.0,2410.0,2630.0,2650.0,2780.0,2680.0,2650.0,2620.0,2590.0,2590.0,2590.0,2590.0,2930.0,3370.0,3740.0,4130.0,4140.0,4410.0,4600.0,4820.0,5230.0,5720.0,5830.0,6260.0,6180.0,6740.0,6940.0,6940.0,6610.0,7280.0,7510.0,7700.0,7850.0,8110.0,8030.0,8440.0,8450.0,8280.0,8740.0,8470.0,8200.0,7940.0,7680.0,7420.0,7170.0,6920.0,6910.0,6890.0,6730.0,6730.0,6710.0,6440.0,5860.0,5370.0,5860.0,5180.0,4620.0,2740.0,2550.0,2760.0,3010.0,3230.0,3380.0,3650.0,3800.0,4050.0,4460.0,5080.0,5820.0,6470.0,7420.0,8460.0,9710.0,10500.0,9050.0,9290.0,9730.0,10400.0,10700.0,11000.0,11300.0,11300.0,12100.0,12700.0,13700.0,12600.0,13400.0,13600.0,14100.0,14700.0,15400.0,16100.000000000002,16800.0,17500.0,18300.0,18900.0,19600.0,20200.0,20700.0,21200.0,21700.0,22200.0,22700.0,23200.0,23700.0,24200.0,24700.0,25200.0,25800.0,26300.0,26900.0,27500.0,28100.0,28700.0,29300.0,29900.0
Antigua and Barbuda,857.0,857.0,857.0,857.0,857.0,857.0,857.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,859.0,859.0,859.0,859.0,859.0,865.0,871.0,877.0,883.0,889.0,894.0,901.0,907.0,912.0,919.0,925.0,932.0,937.0,944.0,951.0,957.0,963.0,970.0,977.0,983.0,989.0,996.0,1000.0,1010.0,1020.0,1020.0,1030.0,1040.0,1050.0,1050.0,1060.0,1070.0,1070.0,1080.0,1090.0,1100.0,1100.0,1110.0,1120.0,1130.0,1130.0,1140.0,1150.0,1160.0,1160.0,1170.0,1180.0,1190.0,1200.0,1200.0,1210.0,1220.0,1230.0,1240.0,1240.0,1250.0,1260.0,1270.0,1280.0,1290.0,1300.0,1300.0,1310.0,1320.0,1330.0,1340.0,1350.0,1360.0,1370.0,1380.0,1390.0,1400.0,1410.0,1410.0,1420.0,1430.0,1440.0,1450.0,1460.0,1470.0,1470.0,1480.0,1480.0,1480.0,1480.0,1480.0,1480.0,1480.0,1480.0,1480.0,1490.0,1490.0,1490.0,1510.0,1540.0,1570.0,1600.0,1630.0,1660.0,1690.0,1720.0,1750.0,1780.0,1810.0,1840.0,1870.0,1910.0,1940.0,1970.0,2010.0,2040.0,2080.0,2110.0,2150.0,2180.0,2220.0,2260.0,2300.0,2330.0,2370.0,2410.0,2450.0,2490.0,2540.0,2580.0,2620.0,2660.0,2700.0,2750.0,2790.0,2840.0,2880.0,2930.0,2970.0,3020.0,3070.0,3120.0,3160.0,3210.0,3260.0,3390.0,3510.0,3650.0,3780.0,3920.0,4070.0,4210.0,4370.0,4520.0,4680.0,5080.0,5530.0,6110.0,6450.0,6200.0,5740.0,6240.0,6540.0,7330.0,7910.0,8400.0,8520.0,9190.0,9980.0,10900.0,11900.0,13100.0,14200.0,15000.0,15500.0,15600.0,15500.0,16000.0,16700.0,15600.0,16300.0,16800.0,17300.0,17600.0,18300.0,17200.0,17100.0,18000.0,18700.0,19700.0,21800.0,23500.0,23100.0,20000.0,18200.0,17600.0,18000.0,17600.0,18100.0,18600.0,19400.0,19800.0,21000.0,21900.0,17200.0,17700.0,18600.0,19400.0,20100.0,20600.0,20900.0,21000.0,21100.0,21200.0,21400.0,21700.0,22000.0,22400.0,22800.0,23300.0,23700.0,24300.0,24800.0,25300.0,25900.0,26400.0,27000.0,27600.0,28100.0,28800.0,29400.0,30000.0,30700.0,31300.0,32000.0
Australia,925.0,930.0,936.0,941.0,947.0,952.0,956.0,962.0,968.0,973.0,979.0,975.0,970.0,966.0,962.0,957.0,953.0,948.0,943.0,938.0,960.0,969.0,997.0,1030.0,1090.0,1140.0,1160.0,1200.0,1230.0,1300.0,1570.0,1630.0,1660.0,1670.0,1750.0,2120.0,2080.0,2190.0,2160.0,2020.0,2550.0,2170.0,1980.0,2300.0,2610.0,2690.0,2970.0,3430.0,3930.0,3880.0,3660.0,4340.0,5090.0,5580.0,4890.0,4640.0,5660.0,4990.0,4260.0,5500.0,5360.0,5280.0,5080.0,5060.0,5370.0,5120.0,5270.0,5760.0,5850.0,5730.0,6060.0,6110.0,6580.0,7090.0,7110.0,7670.0,7430.0,7480.0,7920.0,7790.0,7940.0,8260.0,7530.0,8290.0,7980.0,8190.0,8020.0,8580.0,8350.0,8800.0,8260.0,8650.0,7400.0,6870.0,6980.0,6460.0,6830.0,6340.0,7210.0,7120.0,7440.0,7110.0,7080.0,7550.0,7960.0,7930.0,8350.0,8550.0,8700.0,9230.0,9650.0,9460.0,9450.0,9560.0,9320.0,9070.0,9040.0,8880.0,8530.0,8740.0,8830.0,9100.0,9380.0,9620.0,10000.0,10300.0,10300.0,10300.0,10100.0,9750.0,8720.0,8070.0,8460.0,8970.0,9380.0,9850.0,10200.0,10600.0,10900.0,10800.0,11400.0,12600.0,13900.0,14300.0,13600.0,12800.0,12200.0,12300.0,12900.0,13400.0,13700.0,13900.0,13700.0,13900.0,14400.0,14900.0,15000.0,15000.0,15400.0,16000.0,16300.0,16000.0,16700.0,17400.0,18200.0,18700.0,18900.0,19800.0,20500.0,21300.0,22100.0,22600.0,22800.0,23600.0,23800.0,24100.0,24800.0,24700.0,25100.0,26100.0,26300.0,26700.0,26200.0,25900.0,27300.0,28400.0,28600.0,29500.0,30300.0,31100.0,31000.0,30500.0,30300.0,31200.0,32100.0,32900.0,33700.0,34700.0,35900.0,37200.0,38200.0,38500.0,39500.0,40300.0,41500.0,42200.0,42700.0,44100.0,44700.0,44600.0,44900.0,45400.0,46400.0,46700.0,47200.0,47600.0,48100.0,48400.0,49000.0,49300.0,48000.0,50200.0,51900.0,52500.0,53000.0,53600.0,54300.0,55000.0,55800.0,56600.0,57500.0,58500.0,59600.0,60800.0,62100.0,63400.0,64700.0,66100.0,67500.0,69000.0,70500.0,72000.0,73500.0,75100.0,76700.0,78400.0,80100.0,81800.0,83500.0,85300.0,87200.0
Austria,2090.0,2100.0,2110.0,2120.0,2130.0,2130.0,2140.0,2150.0,2160.0,2170.0,2180.0,2190.0,2190.0,2200.0,2210.0,2220.0,2230.0,2230.0,2240.0,2250.0,2260.0,2290.0,2320.0,2350.0,2390.0,2420.0,2450.0,2490.0,2520.0,2560.0,2590.0,2610.0,2630.0,2660.0,2680.0,2700.0,2720.0,2740.0,2760.0,2790.0,2810.0,2830.0,2860.0,2880.0,2910.0,2930.0,2960.0,2980.0,3010.0,3030.0,3060.0,3080.0,3100.0,3130.0,3150.0,3170.0,3200.0,3220.0,3250.0,3270.0,3290.0,3310.0,3330.0,3340.0,3360.0,3370.0,3390.0,3400.0,3420.0,3440.0,3450.0,3670.0,3660.0,3540.0,3670.0,3660.0,3710.0,3800.0,3890.0,3830.0,3850.0,3970.0,3970.0,4090.0,4170.0,4110.0,4200.0,4460.0,4410.0,4330.0,4530.0,4640.0,4700.0,4680.0,4900.0,4980.0,5000.0,5060.0,5290.0,5350.0,5340.0,5310.0,5460.0,5450.0,5480.0,5730.0,5880.0,6190.0,6150.0,6070.0,6100.0,6240.0,6500.0,6420.0,5330.0,4920.0,4870.0,4790.0,4740.0,4190.0,4470.0,4910.0,5330.0,5270.0,5860.0,6240.0,6320.0,6500.0,6780.0,6850.0,6650.0,6090.0,5450.0,5250.0,5280.0,5390.0,5550.0,5850.0,6600.0,7590.0,7340.0,7810.0,7380.0,7530.0,7690.0,3200.0,3630.0,4010.0,5120.0,6100.0,6870.0,7340.0,7350.0,7670.0,8440.0,9360.0,10000.0,10600.0,10900.0,11200.0,12100.0,12700.0,13000.0,13600.0,14400.0,14800.0,15600.0,16100.000000000002,16800.0,17900.0,19300.0,20300.0,21500.0,22600.0,23600.0,23700.0,25000.0,26300.0,26400.0,28000.0,28900.0,28900.0,29600.0,30700.0,31000.0,31800.0,32700.000000000004,33400.0,34600.0,36100.0,37500.0,38400.0,38800.0,38700.0,39400.0,40400.0,41300.0,42100.0,43600.0,45100.0,46500.0,46900.0,47400.0,47600.0,48600.0,49400.0,50800.0,52600.0,53200.0,51000.0,51800.0,53200.0,53300.0,53000.0,52900.0,52900.0,53300.0,54200.0,55300.0,55800.0,51800.0,53900.0,55000.0,56400.0,57400.0,58200.0,58900.0,59700.0,60500.0,61300.0,62300.0,63300.0,64500.0,65800.0,67100.0,68500.0,70000.0,71500.0,73000.0,74600.0,76200.0,77800.0,79500.0,81200.0,83000.0,84700.0,86600.0,88400.0,90300.0,92300.0,94300.0
